,Unnamed: 0,Country,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average",Happiness Score 2019,Happiness Score 2020,Happiness Score 2015,Happiness Score 2016,Happiness Score 2017,Happiness Score 2018,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016
54,54,Afghanistan,38928341.0,38041754.0,5.628300189971924,18.600000381469727,0,1.106934905052185,8.623236656188965,0,0.0464478097856044,31.0,,,,,,3.203,2.566900015,3.575,3.36,3.79399991035461,3.632,-0.636099985,-0.42900000000000027,-0.1619999103546097,0.43399991035460994,-0.2150000000000003
64,64,Zimbabwe,14862927.0,14645468.0,2.442300081253052,19.600000381469727,0,0.645424485206604,9.244179725646973,0,0.2865124642848968,40.3625,,,,,,3.663,3.299200058,4.61,4.193,3.875,3.692,-0.363799942,-0.02900000000000036,-0.18299999999999983,-0.3179999999999996,-0.4170000000000007
33,33,Tanzania,59734213.0,58005463.0,0.0351999998092651,17.700000762939453,0,0.7318025827407837,9.153142929077148,0,0.620562732219696,37.78,,,,,,3.231,3.476200104,3.781,3.666,3.34899997711182,3.303,0.24520010400000025,-0.07200000000000006,-0.04599997711182002,-0.31700002288817997,-0.11500000000000021
38,38,Malawi,19129955.0,18628747.0,0.9880000352859496,18.100000381469727,0,0.6672336459159851,9.206979751586914,0,0.3226570188999176,44.69,,,,,,3.41,3.538000107,4.292,4.156,3.97000002861023,3.587,0.12800010699999964,-0.17700000000000005,-0.38300002861022975,-0.18599997138976976,-0.13600000000000012
27,27,India,1380004385.0,1366417754.0,10.77810001373291,28.200000762939453,0,0.9366806745529176,8.532171249389648,0,0.5260490775108337,39.334375,,,,,,4.015,3.573299885,4.565,4.404,4.31500005722046,4.19,-0.4417001149999997,-0.1750000000000007,-0.12500005722045948,-0.08899994277954004,-0.16100000000000048
52,52,Zambia,18383956.0,17861030.0,2.110499858856201,17.700000762939453,0,0.6666667461395264,9.251139640808104,0,0.3215149939060211,57.14,,,,,,4.107,3.759399891,5.129,4.795,4.51399993896484,4.377,-0.34760010900000005,-0.2699999999999996,-0.13699993896484042,-0.28100006103515973,-0.33399999999999963
63,63,Sierra Leone,7976985.0,7813215.0,0.9527000188827516,19.100000381469727,0,0.9624727368354796,9.401023864746094,0,0.3384918868541717,34.03,,,,,,4.374,3.926399946,4.507,4.635,4.70900011062622,4.571,-0.4476000539999996,-0.19700000000000006,-0.13800011062622008,0.07400011062622003,0.1280000000000001
1,1,Egypt,102334403.0,100388073.0,7.456900119781494,25.299999237060547,0,1.626674771308899,9.00685977935791,0,0.445924311876297,31.56,,,,,,4.166,4.151400089,4.194,4.362,4.7350001335144,4.419,-0.014599911000000354,-0.2529999999999992,-0.31600013351440026,0.37300013351439976,0.16800000000000015
49,49,Ethiopia,114963583.0,112078730.0,1.6726999282836914,19.799999237060547,0,0.915070116519928,9.047481536865234,0,0.3968652188777923,33.4975,,,,,,4.286,4.186200142,4.512,4.508,4.46000003814697,4.35,-0.09979985799999991,-0.06400000000000006,-0.11000003814697035,-0.047999961853030015,-0.0039999999999995595
111,111,Togo,8278737.0,8082366.0,0.821399986743927,19.399999618530277,0,0.9663538932800292,9.329300880432127,0,0.2123055458068847,43.06,,,,,,4.085,4.187200069,2.839,3.303,3.49499988555908,3.999,0.10220006900000023,0.08599999999999985,0.5040001144409203,0.19199988555907987,0.46399999999999997
47,47,Myanmar,54409794.0,54045420.0,4.929299831390381,29.100000381469727,0,0.7592831254005432,8.298598289489746,0,0.6214678287506104,38.07,,,,,,4.36,4.308000088,4.307,4.395,4.54500007629395,4.308,-0.051999912000000315,0.05200000000000049,-0.23700007629394992,0.15000007629395018,0.08799999999999919
43,43,Sri Lanka,21413250.0,21670000.0,0.9527000188827516,34.099998474121094,1,0.7049904465675354,8.635091781616211,0,0.3675445318222046,41.93666666666667,,,,,,4.366,4.327000141,4.271,4.415,4.44000005722046,4.471,-0.03899985899999958,-0.10500000000000043,0.030999942779540213,0.025000057220459837,0.14400000000000013
112,112,Tunisia,11818618.0,11694719.0,39.564701080322266,32.70000076293945,0,3.017868757247925,9.118125915527344,0,0.129422590136528,32.82,,,,,,4.461,4.392199993,4.739,5.045,4.80499982833862,4.592,-0.06880000700000011,-0.13099999999999934,-0.21299982833862074,-0.24000017166137955,0.30600000000000005
36,36,Uganda,45741000.0,44269594.0,0.5486999750137329,16.399999618530273,0,0.8155328035354614,9.14323902130127,0,0.2393098622560501,42.75,,,,,,4.189,4.43200016,3.931,3.739,4.08099985122681,4.161,0.24300016000000024,0.02800000000000047,0.0800001487731894,0.3419998512268103,-0.19200000000000017
60,60,Ukraine,43733759.0,44385155.0,44.08720016479492,41.400001525878906,0,2.206019639968872,8.928791046142578,0,0.0590685829520225,25.0,574123.0,587665.0,581114.0,616835.0,81.40746307373047,4.332,4.56069994,4.681,4.324,4.09600019454956,4.103,0.22869994000000027,0.2290000000000001,0.0069998054504401,-0.22799980545044018,-0.3570000000000002
32,32,Kenya,53771300.0,52573973.0,3.1057000160217285,20.0,0,0.7814594507217407,9.118931770324709,0,0.3310456573963165,40.78,,,,,,4.509,4.583000183,4.419,4.356,4.55299997329712,4.41,0.07400018299999989,0.0990000000000002,-0.1429999732971199,0.19699997329712016,-0.06299999999999972
5,5,Jordan,10203140.0,10101694.0,37.576698303222656,23.200000762939453,0,1.8946033716201784,8.960691452026367,0,0.4654549360275268,33.1,,,,,,4.906,4.633399963,5.192,5.303,5.33599996566772,5.161,-0.27260003700000013,-0.2549999999999999,-0.17499996566772058,0.03299996566772023,0.11099999999999977
23,23,Iran,83992953.0,82913906.0,65.74720001220703,32.400001525878906,0,1.7066987752914429,8.809122085571289,0,0.3672230541706085,39.97,,,,,,4.548,4.672399998,4.686,4.813,4.69199991226196,4.707,0.12439999800000034,-0.1589999999999998,0.015000087738039625,-0.1210000877380395,0.12699999999999978
55,55,Georgia,3989175.0,3720382.0,62.794898986816406,38.70000076293945,0,1.7055425643920898,8.850701332092285,0,0.198270782828331,37.94,,,,,,4.519,4.672599792,4.297,4.252,4.28599977493286,4.34,0.15359979199999962,0.17900000000000027,0.05400022506713942,0.03399977493286066,-0.04499999999999993
