Country,year,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Generosity
Switzerland,2015,1,7.587,1.39651,1.34951,0.94143,0.29678
Iceland,2015,2,7.561,1.30232,1.40223,0.94784,0.4363
Denmark,2015,3,7.527,1.32548,1.36058,0.87464,0.34139
Norway,2015,4,7.522,1.459,1.33095,0.88521,0.34699
Canada,2015,5,7.427,1.32629,1.32261,0.90563,0.45811
Finland,2015,6,7.406,1.29025,1.31826,0.88911,0.23351
Netherlands,2015,7,7.378,1.32944,1.28017,0.89284,0.4761
Sweden,2015,8,7.364,1.33171,1.28907,0.91087,0.36262
New Zealand,2015,9,7.286,1.25018,1.31967,0.90837,0.47501
Australia,2015,10,7.284,1.33358,1.30923,0.93156,0.43562
Israel,2015,11,7.278,1.22857,1.22393,0.91387,0.33172
Costa Rica,2015,12,7.226,0.95578,1.23788,0.86027,0.25497
Austria,2015,13,7.2,1.33723,1.29704,0.89042,0.33088
Mexico,2015,14,7.187,1.02054,0.91451,0.81444,0.14074
United States,2015,15,7.119,1.39451,1.24711,0.86179,0.40105
Brazil,2015,16,6.983,0.98124,1.23287,0.69702,0.14574
Ireland,2015,18,6.94,1.33596,1.36948,0.89533,0.45901
Belgium,2015,19,6.937,1.30782,1.28566,0.89667,0.2225
United Arab Emirates,2015,20,6.901,1.42727,1.12575,0.80925,0.26428
United Kingdom,2015,21,6.867,1.26637,1.28548,0.90943,0.51912
Venezuela,2015,23,6.81,1.04424,1.25596,0.72052,0.05841
Singapore,2015,24,6.798,1.52186,1.02,1.02525,0.31105
Panama,2015,25,6.786,1.06353,1.1985,0.79661,0.24434
Germany,2015,26,6.75,1.32792,1.29937,0.89186,0.28214
Chile,2015,27,6.67,1.10715,1.12447,0.85857,0.33363
France,2015,29,6.575,1.27778,1.26038,0.94579,0.12332
Argentina,2015,30,6.574,1.05351,1.24823,0.78723,0.11451
Uruguay,2015,32,6.485,1.06166,1.2089,0.8116,0.2324
Colombia,2015,33,6.477,0.91861,1.24018,0.69077,0.18401
Thailand,2015,34,6.455,0.9669,1.26504,0.7385,0.5763
Saudi Arabia,2015,35,6.411,1.39541,1.08393,0.72025,0.13706
Spain,2015,36,6.329,1.23011,1.31379,0.95562,0.18227
Malta,2015,37,6.302,1.2074,1.30203,0.88721,0.51752
El Salvador,2015,42,6.13,0.76454,1.02507,0.67737,0.10692
Uzbekistan,2015,44,6.003,0.63244,1.34043,0.59772,0.22837
Slovakia,2015,45,5.995,1.16891,1.26999,0.78902,0.16893
Japan,2015,46,5.987,1.27074,1.25712,0.99111,0.10705
South Korea,2015,47,5.984,1.24461,0.95774,0.96538,0.18557
Ecuador,2015,48,5.975,0.86402,0.99903,0.79075,0.11541
Bahrain,2015,49,5.96,1.32376,1.21624,0.74716,0.17362
Italy,2015,50,5.948,1.25114,1.19777,0.95446,0.22823
Bolivia,2015,51,5.89,0.68133,0.97841,0.5392,0.20536
Moldova,2015,52,5.889,0.59448,1.01528,0.61826,0.20951
Paraguay,2015,53,5.878,0.75985,1.30477,0.66098,0.3424
Kazakhstan,2015,54,5.855,1.12254,1.12241,0.64368,0.11827
Slovenia,2015,55,5.848,1.18498,1.27385,0.87337,0.25328
Lithuania,2015,56,5.833,1.14723,1.25745,0.73128,0.02641
Nicaragua,2015,57,5.828,0.59325,1.14184,0.74314,0.27815
Peru,2015,58,5.824,0.90019,0.97459,0.73017,0.14982
Poland,2015,60,5.791,1.12555,1.27948,0.77903,0.16759
Malaysia,2015,61,5.77,1.12486,1.07023,0.72394,0.33075
Croatia,2015,62,5.759,1.08254,0.79624,0.78805,0.05444
Russia,2015,64,5.716,1.13764,1.23617,0.66926,0.00199
Jamaica,2015,65,5.709,0.81038,1.15102,0.68741,0.2123
Cyprus,2015,67,5.689,1.20813,0.89318,0.92356,0.30638
