,Country,year,Life Ladder,Freedom to make life choices,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Happiness Rank,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Generosity
0,Afghanistan,2015,3.982854605,0.388927579,0.880638301,0.491409957,0.339276046,0.260557145,153,3.575,0.31982,0.30285,0.30335,0.3651
1,Afghanistan,2016,4.220168591,0.522566199,0.793245554,0.501408756,0.348332286,0.324989557,154,3.36,0.38227,0.11037,0.17344,0.31268
2,Afghanistan,2017,2.66171813,0.427010864,0.954392552,0.435269952,0.371326178,0.261178523,141,3.79399991035461,0.401477217674255,0.581543326377869,0.180746778845787,0.311870932579041
3,Afghanistan,2018,2.694303274,0.373535544,0.927605689,0.384561479,0.404904395,0.364666402,145,3.632,0.332,0.537,0.255,0.191
4,Afghanistan,2019,2.375091791,0.393656164,0.923849106,0.324107826,0.502473712,0.341482222,154,3.203,0.35,0.517,0.361,0.158
5,Afghanistan,2021,2.436034441,0.394305944,0.946299374,0.178885803,0.60671258,0.255620003,149,2.523,7.695,0.463,52.493,-0.102
6,Albania,2015,4.606650829,0.703850687,0.884793043,0.579071701,0.350426674,0.506978393,95,4.959,0.87867,0.80434,0.81325,0.14272
7,Albania,2016,4.511100769,0.72981894,0.901070774,0.567079723,0.321705997,0.400909811,109,4.655,0.9553,0.50163,0.73007,0.1684
8,Albania,2017,4.639548302,0.74961102,0.876134634,0.547240436,0.33388412,0.457737535,109,4.64400005340576,0.996192753314972,0.803685247898102,0.731159746646881,0.201312944293022
9,Albania,2018,5.004402637,0.824212313,0.899129391,0.592044652,0.318996727,0.435337961,112,4.586,0.916,0.817,0.79,0.149
10,Albania,2019,4.995317936,0.777351439,0.914284289,0.548189282,0.273827374,0.336627871,107,4.719,0.947,0.848,0.874,0.178
11,Albania,2020,5.364909649,0.75367105,0.891358972,0.563486159,0.265066117,0.373402834,105,4.882699966,9.417930603,0.671070457,68.70813751,-0.042309489
12,Albania,2021,5.25548172,0.827452719,0.896126628,0.553830087,0.25365448,0.472924024,93,5.117,9.52,0.697,68.999,-0.03
13,Algeria,2016,5.340853691,,,0.565025926,0.377111971,,38,6.355,1.05266,0.83309,0.61804,0.07044
14,Algeria,2017,5.248912334,0.436670482,0.699774206,0.554528713,0.288710028,,53,5.87200021743774,1.09186446666718,1.1462174654007,0.617584645748138,0.0694366469979286
15,Algeria,2018,5.043086052,0.58338058,0.758704126,0.533724844,0.292945564,,84,5.295,0.979,1.154,0.687,0.055
16,Algeria,2019,4.744627476,0.385083437,0.740609348,0.544427812,0.215197757,,88,5.211,1.002,1.16,0.785,0.073
17,Algeria,2020,5.437755108,0.573890686,0.724263668,0.524169207,0.310629755,,100,5.005099773,9.537964821,0.803385139,65.90517426,-0.121105164
18,Algeria,2021,5.217017651,0.558486938,0.711900055,0.498022288,0.257779151,,109,4.887,9.342,0.802,66.005,-0.067
19,Argentina,2015,6.69713068,0.881223679,0.850906193,0.767845273,0.305354923,0.378169239,30,6.574,1.05351,1.24823,0.78723,0.11451
20,Argentina,2016,6.427221298,0.847702205,0.850924492,0.73173517,0.311646461,0.419561833,26,6.65,1.15137,1.06612,0.69711,0.10989
21,Argentina,2017,6.039330006,0.831966162,0.841052473,0.715182364,0.291717261,0.305430293,24,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.109457060694695
22,Argentina,2018,5.792796612,0.845894694,0.855255246,0.73206991,0.320502073,0.261352271,29,6.388,1.073,1.468,0.744,0.062
23,Argentina,2019,6.085560799,0.817052603,0.830459774,0.734905839,0.319054842,0.273853004,47,6.086,1.092,1.432,0.881,0.066
24,Argentina,2020,5.900567055,0.823391616,0.815780461,0.679316759,0.342496932,0.430758089,55,5.974699974,9.810955048,0.900567949,68.80380249,-0.194913864
25,Argentina,2021,5.908278942,0.819479346,0.816256702,0.684860051,0.345131576,0.326574117,57,5.929,9.962,0.898,69.0,-0.182
26,Armenia,2015,4.34831953,0.551026642,0.901462197,0.526852846,0.43794772,0.170927867,127,4.35,0.76821,0.77711,0.7299,0.07855
