,Country,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average",Happiness Score 2019,Happiness Score 2020
0,United States,331002647.0,328239523.0,104.45140075683594,38.29999923706055,0,1.6875032186508179,9.314895629882812,0,0.25004276633262634,47.510000000000005,2810927.0,2839076.0,2852747.0,3424996.0,179.2197265625,6.892,6.939599991
1,Egypt,102334403.0,100388073.0,7.456900119781494,25.299999237060547,0,1.626674771308899,9.00685977935791,0,0.445924311876297,31.560000000000002,,,,,,4.166,4.151400089
2,Morocco,36910558.0,36471769.0,20.016000747680664,29.600000381469727,0,2.336052894592285,9.226011276245117,0,0.397255003452301,39.550000000000004,,,,,,5.208,5.094799995
3,Lebanon,6825442.0,6855713.0,21.507801055908203,31.100000381469727,0,1.891433835029602,8.956013679504395,0,0.1066327691078186,31.830000000000002,,,,,,5.197,4.771500111
4,Saudi Arabia,34813867.0,34268528.0,17.87510108947754,31.899999618530273,0,1.2504826784133911,8.896798133850098,0,0.6506189107894897,45.9,,,,,,6.375,6.406499863
5,Jordan,10203140.0,10101694.0,37.576698303222656,23.200000762939453,0,1.8946033716201782,8.960691452026367,0,0.46545493602752686,33.1,,,,,,4.906,4.633399963
6,Turkey,84339067.0,83429615.0,24.758399963378906,31.600000381469727,0,2.066906452178955,8.951714515686035,0,0.2950316071510315,40.550000000000004,,,,,,5.373,5.131800175
7,Pakistan,220892331.0,216565318.0,4.606800079345703,23.5,0,1.0482311248779297,8.576827049255371,0,0.27687782049179077,33.45,,,,,,5.653,5.69329977
8,Indonesia,273523621.0,270625568.0,8.093599319458008,29.299999237060547,1,0.5756047368049622,8.577746391296387,0,0.5607911944389343,37.47749999999999,,,,,,5.192,5.285600185
9,Bangladesh,164689383.0,163046161.0,4.589900016784668,27.5,0,0.8239312767982483,8.34893798828125,0,0.576997697353363,43.9725,,,,,,4.456,4.832799911
10,United Kingdom,67886004.0,66834405.0,108.44950103759766,40.79999923706055,1,5.009472846984863,9.087469100952148,0,0.2675822079181671,34.07,606874.0,613309.0,600532.0,696705.0,133.31314086914062,7.054,7.164500237
11,France,65273512.0,67059887.0,99.21179962158203,42.0,0,5.0308990478515625,9.092100143432617,0,0.23413409292697906,29.3,604105.0,607786.0,611291.0,678259.0,106.59695434570312,6.592,6.663799763
12,Germany,83783945.0,83132799.0,40.33110046386719,46.599998474121094,0,4.837829113006592,9.01769733428955,0,0.4354351758956909,31.1,929351.0,952295.0,936772.0,1000855.0,73.54841613769531,6.985,7.075799942
13,Netherlands,17134873.0,17332850.0,67.260498046875,43.20000076293945,0,5.573827266693115,9.059903144836426,0,0.5222078561782837,27.0,149805.0,152991.0,151547.0,171175.0,114.46841430664062,7.488,7.448900223
14,Belgium,11589616.0,11484055.0,168.49569702148438,41.79999923706055,0,6.343307971954346,9.071179389953613,0,0.302761971950531,25.6,109278.0,110341.0,108436.0,128952.0,169.89352416992188,6.923,6.863500118
15,Spain,46754783.0,47076781.0,108.7311019897461,45.5,0,4.331624507904053,9.17187786102295,0,0.14327365159988403,33.2,420589.0,423994.0,414914.0,501106.0,173.2330780029297,6.354,6.400899887
16,Italy,60461828.0,60297396.0,122.6541976928711,47.900001525878906,0,5.500850677490234,9.077784538269043,0,0.07554042339324951,33.4,656891.0,638884.0,642964.0,756317.0,182.2977752685547,6.223,6.38740015
17,Poland,37846605.0,37970874.0,75.44670104980469,41.79999923706055,0,3.198971748352051,8.978473663330078,0,0.303745299577713,27.8,402533.0,411312.0,407624.0,485441.0,206.50820922851562,6.182,6.186299801
18,Hungary,9660350.0,9769949.0,98.72309875488281,43.400001525878906,0,3.554931879043579,9.011205673217773,0,0.2525981068611145,28.7,131293.0,130624.0,129266.0,142921.0,128.93948364257812,5.758,6.000400066
19,Romania,19237682.0,19356544.0,81.95890045166016,43.0,0,2.516937494277954,8.980768203735352,0,0.10004021227359772,35.1,,,,,,6.07,6.123700142
20,Sweden,10099270.0,10285453.0,86.41220092773438,41.0,0,2.5899312496185303,8.963016510009766,0,0.45058152079582214,27.0,91626.50000000003,91920.09999999998,88544.70000000004,99647.19999999998,87.81182098388672,7.343,7.353499889
21,Greece,10423056.0,10716322.0,46.416297912597656,45.29999923706055,0,2.32733154296875,9.025693893432617,0,0.12421645224094391,32.3,124069.0,119952.0,124538.0,132966.0,95.67926025390625,5.287,5.514999866
22,Denmark,5792203.0,5818553.0,22.409399032592773,42.29999923706055,0,3.9530560970306396,9.006084442138672,0,0.5717613697052002,27.8,53103.0,55076.0,53805.0,55477.0,25.53377342224121,7.6,7.645599842
23,Iran,83992953.0,82913906.0,65.74720001220703,32.400001525878906,0,1.7066987752914429,8.809122085571289,0,0.3672230541706085,39.97,,,,,,4.548,4.672399998
