"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCSUPPORT","TRY","PC","A","2010",95.30189037323,
"AUS","SOCSUPPORT","TRY","PC","A","2011",95.30189037323,
"AUS","SOCSUPPORT","TRY","PC","A","2012",95.30189037323,
"AUS","SOCSUPPORT","TRY","PC","A","2013",95.30189037323,
"AUS","SOCSUPPORT","TRY","PC","A","2014",95.30189037323,
"AUS","SOCSUPPORT","TRY","PC","A","2015",95.30189037323,
"AUS","SOCSUPPORT","TRY","PC","A","2016",95.30189037323,
"AUS","SOCSUPPORT","TRY","PC","A","2017",95.30189037323,
"AUS","SOCSUPPORT","TRY","PC","A","2018",95.30189037323,
"AUS","SOCSUPPORT","TRY","PC","A","2019",95.30189037323,
"AUS","SOCSUPPORT","TRY","PC","A","2020",95.30189037323,
"AUS","SOCSUPPORT","TRY","PC","A","2021",95.30189037323,
"AUS","SOCSUPPORT","TRY","PC","A","2022",95.30189037323,
"AUS","SOCSUPPORT","SRY","PC","A","2010",93.6983406543732,
"AUS","SOCSUPPORT","SRY","PC","A","2011",93.6983406543732,
"AUS","SOCSUPPORT","SRY","PC","A","2012",93.6983406543732,
"AUS","SOCSUPPORT","SRY","PC","A","2013",93.6983406543732,
"AUS","SOCSUPPORT","SRY","PC","A","2014",93.6983406543732,
"AUS","SOCSUPPORT","SRY","PC","A","2015",93.6983406543732,
"AUS","SOCSUPPORT","SRY","PC","A","2016",93.6983406543732,
"AUS","SOCSUPPORT","SRY","PC","A","2017",93.6983406543732,
"AUS","SOCSUPPORT","SRY","PC","A","2018",93.6983406543732,
"AUS","SOCSUPPORT","SRY","PC","A","2019",93.6983406543732,
"AUS","SOCSUPPORT","SRY","PC","A","2020",93.6983406543732,
"AUS","SOCSUPPORT","SRY","PC","A","2021",93.6983406543732,
"AUS","SOCSUPPORT","SRY","PC","A","2022",93.6983406543732,
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2010",92.9866254329681,
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2011",92.9866254329681,
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2012",92.9866254329681,
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2013",92.9866254329681,
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2014",92.9866254329681,
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2015",92.9866254329681,
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2016",92.9866254329681,
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2017",92.9866254329681,
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2018",92.9866254329681,
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2019",92.9866254329681,
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2020",92.9866254329681,
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2021",92.9866254329681,
"AUS","SOCSUPPORT","MIDDLE_AGED","PC","A","2022",92.9866254329681,
"AUS","SOCSUPPORT","OLD","PC","A","2010",92.872953414917,
"AUS","SOCSUPPORT","OLD","PC","A","2011",92.872953414917,
"AUS","SOCSUPPORT","OLD","PC","A","2012",92.872953414917,
"AUS","SOCSUPPORT","OLD","PC","A","2013",92.872953414917,
"AUS","SOCSUPPORT","OLD","PC","A","2014",92.872953414917,
"AUS","SOCSUPPORT","OLD","PC","A","2015",92.872953414917,
"AUS","SOCSUPPORT","OLD","PC","A","2016",92.872953414917,
"AUS","SOCSUPPORT","OLD","PC","A","2017",92.872953414917,
"AUS","SOCSUPPORT","OLD","PC","A","2018",92.872953414917,
"AUS","SOCSUPPORT","OLD","PC","A","2019",92.872953414917,
"AUS","SOCSUPPORT","OLD","PC","A","2020",92.872953414917,
